pmid,title,abstract
41597249,Olfactory Dysfunction and Cognitive Deterioration in Long COVID: Pathomechanisms and Clinical Implications in Development of Alzheimer's Disease.,"Complete or partial loss of smell (anosmia), sometimes in association with distorted olfactory perceptions (parosmia), is a common neurological symptom affecting nearly 60% of patients suffering from post-acute neurological sequelae of COronaVIrus Disease of 2019 (COVID-19) syndrome, called long COVID. Severe Acute Respiratory Syndrome CoronaVirus 2 (SARS-CoV-2) may gain access from the nasal cavity to the brain (neurotropism), and the olfactory route has been proposed as a peripheral site of virus entry. COVID-19 is a risk factor for developing Alzheimer's Disease (AD), an age-dependent and progressive neurodegenerative disorder characterized in affected patients by early olfaction dysfunction that precedes signs of cognitive decline associated with neurodegeneration in vulnerable brain regions of their limbic system. Here, we summarize the recent literature data supporting the causal correlation between the persistent olfactory deterioration following SARS-CoV-2 infection and the long-delayed manifestation of AD-like memory impairment. SARS-CoV-2 infection of the olfactory neuroepithelium is likely to trigger a pattern of detrimental events that, directly and/or indirectly, affect the anatomically interconnected hippocampal and cortical areas, thus resulting in tardive clinical dementia. We also delineate future advancement on pharmacological and rehabilitative treatments to improve the olfactory dysfunction in patients recovering even from the acute/mild phase of COVID-19. Collectively, the present review aims at highlighting the physiopathological nexus between COVID-19 anosmia and post-pandemic mental health to favor the development of best-targeted and more effective therapeutic strategies in the fight against the long-term neurological complications associated with SARS-CoV-2 infection."
41547891,Intranasal blood-brain barrier bypass enables sequential mitochondria-targeted bioengineered nanolamellar system for ischemic stroke therapy.,"Mitochondrial damage constitutes the central pathological mechanism of cerebral ischemia-reperfusion (I/R) injury. Targeted delivery of antioxidants to mitochondria and the phenotype polarization of glial cells holds great promise for effective treatment. However, the blood-brain barrier (BBB) remains a major obstacle, causing insufficient drug accumulation in neuronal mitochondria. Here, we develop a bioengineered nanolamellar system (MM@BPPF) by coating microglia-mitochondria hybrid biomembrane onto black phosphorus nanosheets (BP NSs) loaded with polymetformin (PolyMet) and fingolimod hydrochloride (FTY720). Microglia membrane facilitates inflammation-directed targeting to the injured brain regions, while mitochondria membrane confers homotypic targeting to mitochondria. Meanwhile, BP NSs, PolyMet, and FTY720 act sequentially to restore mitochondrial function of neuronal cells and modulate microglial polarization. Intranasal administration enables MM@BPPF to bypass the BBB, substantially improving brain-targeting efficiency. This work not only offers an innovative sequential targeting strategy for mitigating I/R injury but also presents a potential paradigm for treating other central nervous system disorders."
41564643,Development and quality control studies of radiolabelled nanostructured lipid formulations with Ga-68.,"This study aims to radiolabel a nanoparticle formulation containing donepezil with Ga-68 radionuclide with high efficiency for diagnosing Alzheimer's disease. In order to develop lipid carrier systems with biocompatible contents in nanoparticle structures, extensive formulation studies were conducted. These systems were subsequently radiolabeled with Ga-68 radionuclide to evaluate their radiolabeling efficiencies. The results are highly encouraging, suggesting that effective radiolabeling is indeed possible. These findings are particularly significant as they open up a range of applications for targeted drug delivery, medical imaging, and diagnostics. Overall, this study represents a valuable contribution to the expanding body of knowledge on lipid carrier systems in healthcare. Nanocarrier formulations were prepared. The radiolabeling parameters of the prepared formulations were studied comparatively. A Ga-68 radionuclide with a half-life of 68 min was used for this. Incubation time, amount of radioactivity, and pH parameters were studied. The radiolabeling incubation time, pH of the experimental medium, and amount of radioactivity were tested, and the optimal parameters were identified. According to the results of the radiolabeling studies, optimal radiolabeling with Ga-68 radionuclide was obtained in an acid medium (pH: 5), with a 60 min incubation time, and using 5 mCi of activity in the DOTA-functionalized nanolipid formulations, achieving 89.17 % efficiency. Furthermore, quantitative in vivo PET/CT imaging in nude mice (n = 3/group) demonstrated that the optimized Ga-68-DNP-NLC formulation achieved statistically significant and higher brain uptake compared to the free Ga-68 control, confirming its ability to cross the blood-brain barrier."
41548855,Metal-directed nanomedicines for imaging-guided disease treatment.,"Metal-directed self-assembly, driven by metal-ligand coordination, represents a highly versatile and efficient strategy for constructing drug delivery systems with precisely tunable properties, inherent imaging capabilities, and broad biomedical applications. Stimuli-responsive metal-directed drug delivery systems (MDDSs), guided by advanced imaging techniques, enable precise control over their size and spatial architecture while facilitating site-specific drug release. Moreover, certain metal ions play a dual role, not only orchestrating the self-assembly process but also serving as therapeutic agents and regulatory components for the treatment of various diseases, including cancer, microbial infections, and Alzheimer's disease. This review provides a comprehensive overview of the self-assembly mechanisms underlying diverse MDDSs and their applications in image-guided therapy. Furthermore, we critically examine existing challenges in the field and propose strategic directions to propel the advancement of metal-directed self-assembly in drug delivery. Given the profound implications of this research, further exploration of the critical roles of metal coordination in self-assembly is imperative for the development of next-generation drug delivery platforms. STATEMENT OF SIGNIFICANCE: This review systematically summarize the self-assembly mechanisms of metal-directed drug delivery systems, outlines their applications in image-guided therapy and discusses the current challenges that remain. Furthermore, it elucidates the unique regulatory roles of metal ions in precise drug release and multimodal therapy, providing valuable insights and broad appeal for the development and clinical translation of next-generation smart nanomedicine platforms."
41579998,Carboxymethyl chitosan for neurological drug delivery: Current trends and future prospects.,"The complexity of drug delivery across the blood-brain barrier (BBB) makes disorders of the central nervous system (CNS), such as Alzheimer's disease, Parkinson's disease(PD), brain tumors, and other neurodegenerative conditions, a growing global health burden. Poor brain bioavailability and systemic side effects are common problems with traditional therapies. Delivery systems based on nanotechnology have shown promise as solutions to these problems. These include carboxymethyl chitosan (CMC), a water-soluble, biocompatible, and biodegradable chitosan derivative that has drawn a lot of interest because of its increased stability, mucoadhesiveness, improved solubility at physiological pH, and ability to encapsulate and release targeted drugs. CMC-based nanocarriers are perfect for treating a variety of conditions because they have shown promise in increasing therapeutic efficacy while reducing toxicity. Recently developed CMC-based drug delivery systems for CNS disorders are examined critically in this review, with an emphasis on their design, biological performance, targeting techniques, and potential for clinical translation in the future. Their multifunctional qualities, in vitro and in vivo evidence, and their function in regulating neuroinflammation, oxidative stress, and neuronal regeneration are given particular attention."
41603986,Computational prioritization of multi-target inhibitors: explainable QSAR and docking-based discovery of dual AChE/BACE1 chemotypes.,"The discovery of dual acetylcholinesterase (AChE) and β-secretase (BACE1) inhibitors remains a promising strategy against multifactorial Alzheimer's disease. Here, rigorously curated ChEMBL-derived data were used to develop explainable QSAR (Quantitative structure-activity relationship) models for dual-inhibition prioritization. Molecules were standardized, near-duplicates were removed using a Tanimoto similarity threshold (≥ 0.80), and physicochemical outliers were filtered prior to modeling. Multiple classifiers (including Light Gradient-Boosting Machine, eXtreme Gradient Boosting, Random Forest, Support Vector Machine, k-Nearest Neighbors and Gradient Boosting Decision Trees) and fingerprints (e.g., RDKit fingerprints, Extended Connectivity Fingerprint) were benchmarked under scaffold-based nested cross-validation to prevent data leakage. Class imbalance was handled with SMOTETomek applied strictly within training folds. Model selection relied on F-Score, Area Under the Precision-Recall Curve, Matthews Correlation Coefficient (MCC), and Recall, and performance was accompanied by bootstrap confidence intervals, calibration curves, and Y-randomization controls. In classification, the top model (GBDT + ECFP6) achieved strong generalization (Recall ≈ 1.00, PR-AUC ≈ 0.84, MCC ≈ 0.81, F1 Score ≈ 0.84). Shapley Additive Explanations (SHAP) analysis highlighted aromatic and hydrogen-bonding substructures as key positive contributors. Prospective candidates (e.g., CHEMBL5082250, CHEMBL1651126, CHEMBL1651127) were evaluated by active-site-focused docking against AChE (PDB: 4EY7) and BACE1 (PDB: 2G94) with essential waters retained; docking scores (ΔG, kcal·mol⁻<sup>1</sup>) were used for relative ranking of the ligands. SwissADME/pkCSM profiling suggested CNS-relevant properties (e.g., MPO, logBB, P-gp liability) and acceptable oral drug-likeness. Collectively, the workflow provides a reproducible and transparent pipeline for prioritizing dual AChE/BACE1 chemotypes and nominates testable scaffolds for experimental validation."
41575328,Targeted Delivery of Quercetin to the Brain via a Modified Polymeric Nanocarrier.,"Quercetin (Qt) exhibits significant neuroprotective potential in Alzheimer's disease; however, its clinical translation is limited by poor solubility, low permeability, and inadequate brain bioavailability. In this study, a modified polymeric nanocarrier was developed to enhance Qt delivery to the brain. Polyethyleneimine (PEI) was conjugated with polyethylene glycol (PEG) and further functionalized with phenylalanine to reduce PEI-associated toxicity and improve brain-targeting efficiency. Successful polymer synthesis was confirmed by FT-IR spectroscopy, showing characteristic S─S bond formation at 790 cm<sup>-</sup> <sup>1</sup>, mass spectrometry (m/z 1087.3), and differential scanning calorimetry. Nanoparticles were optimized using a Quality by Design approach, yielding an experimental particle size of 161.4 ± 1.10 nm, zeta potential of 15.9 ± 2.5 mV, and high entrapment efficiencies of 84.21 % and 86.74 % for Qt-PEI-Np and Qt-PEI-PEG-S-S-AA-Np, respectively. SEM analysis revealed spherical nanoparticles with nanoscale surface roughness and good stability. In vitro release studies demonstrated sustained Qt release (98 % over 48 h). MTT assays and cytokine analysis (TNF-α, IL-1β, IL-6) confirmed biocompatibility. Enhanced intestinal permeability, absence of hippocampal toxicity, and effective BBB transport further support the potential of this nanocarrier for targeted neurotherapeutic delivery."
41604360,"A Global, Regional, and National Survey on Burden and Quality of Care Index of Alzheimer's Disease and Other Dementias in Adults Aged 55 and Above: The Global Burden of Disease Study 1990-2021.","Alzheimer's disease and other dementias (ADOD) represent a growing global health challenge. This study aims to propose a comprehensive measure called the quality of care index (QCI) to assess disparities in quality of care (QC) for ADOD patients across global, regional, and national levels. We also evaluate temporal trends in QCI and explore associations with socioeconomic development, gender, and age. Individuals aged 55 years and older with ADOD were included in this longitudinal study using data from the global burden of disease (GBD) database spanning 1990-2021. The QCI score was calculated using four indicators. Principal component analysis was employed to compute the QCI. The QCI was rescaled to a single index ranging from 0 to 100, where higher scores indicate better QC. The global QCI increased from 32.9 in 1990 to 50.2 in 2021, with a greater increase among females (68.8%) than males (52.4%). Significant gains were observed in regions with middle and high-middle sociodemographic index), while slight declines occurred in high- and low-middle SDI regions, and slow progress was seen in low SDI regions. The gender gap in QCI narrowed, with females outperforming males in low SDI regions. QCI scores showed a marked increase with age, reflecting lower QC access in younger age groups and a sharp rise in older age groups. Substantial disparities in QCI exist globally and regionally across age cohorts and between men and women. Policymakers should prioritize targeted interventions to address these gaps, improve access to high-quality care, and alleviate the global burden of ADOD."
41570392,"Clinical, imaging and blood biomarker outcomes in a Phase 3 clinical trial of tau aggregation inhibitor hydromethylthionine mesylate in mild cognitive impairment and mild to moderate dementia due to Alzheimer's disease.","Hydromethylthionine mesylate (HMTM) targets tau pathology and has tau-independent symptomatic activity. To evaluate the safety and efficacy of HMTM in participants with mild cognitive impairment (MCI) and mild to moderate dementia due to Alzheimer's disease (AD). 82 centres in Canada, European Union, United Kingdom and United States of America. A total of 598 amyloid β-PET positive participants were included; 44% (263) met clinical criteria for MCI due to Alzheimer's disease and 56% (335) were diagnosed with mild to moderate dementia due to AD. HMTM 16 mg/day and 8 mg/day were compared with methylthioninium chloride (MTC) 4 mg twice weekly, intended as an inactive urinary colourant to preserve blinding with respect to possible urinary discolouration caused by HMTM. HMTM and MTC were compared on cognitive and functional endpoints for the first 52 weeks followed by all receiving HMTM 16 mg/day to 104 weeks in a modified delayed-start trial design. Biomarker outcomes included change in plasma levels of neurofilament light chain (NfL), pTau217 and MRI measures of grey matter atrophy. It was not possible to demonstrate significant differences on the co-primary clinical endpoints (ADAS-cog<sub>11</sub> and ADCS-ADL<sub>23</sub>) at 52 weeks due to symptomatic activity in the control arm. In participants with MCI, statistically significant differences in cognitive decline (ADAS-cog<sub>13</sub>) emerged at 78 weeks (p = 0·0291) and 104 weeks (p = 0·0308) between early- and delayed-start HMTM 16 mg/day in analyses specified prior to the 24-month database lock. Statistically significant cognitive improvement over baseline score was sustained for 78 weeks in the early start MCI group, with no significant cognitive or functional decline to 104 weeks. There was a significant reduction in progression of neurodegeneration measured by NfL change (p = 0·0291) at 52 weeks in the whole population, consistent with significant reductions in progression of grey matter atrophy at 52 and 104 weeks, and a reduction in progression of tau pathology (pTau217, p = 0·0165) in MCI. Headache (1·5%) and diarrhoea (1·2%) were the most frequent adverse effects. Although HMTM 16 mg/day arrested progression of neurodegeneration and reduced grey matter atrophy at 52 weeks, symptomatic activity in the control arm precluded separation of treatment arms at 52 weeks on primary clinical endpoints. In participants with MCI, significant clinical separation was seen only at 78 and 104 weeks. This effect has been confirmed in a further study. HMTM was well tolerated and has the potential to offer an accessible oral treatment option with a benign safety profile which could be delivered with minimal patient/physician burden."
41601548,Ferroptosis in Alzheimer's disease: molecular mechanisms and advances in therapeutic strategies.,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder characterized primarily by the continuous decline of cognitive functions. Its pathogenesis involves complex, multidimensional interactions among various molecular pathways. In recent years, ferroptosis, a regulated form of iron-dependent cell death, has emerged as a crucial contributor to AD progression. Ferroptosis is defined by the accumulation of lipid peroxides and inactivation of glutathione peroxidase 4 (GPX4), and is typically initiated in the context of disrupted iron homeostasis, aberrant lipid metabolism, and mitochondrial dysfunction in the brain. This review comprehensively delineates the molecular mechanisms underlying dysregulated iron metabolism in AD and proposes an integrative ""iron-lipid-energy-inflammation"" axis as a pathological framework. Particular attention is given to the GPX4 signaling pathway as a central hub linking lipid peroxidation, mitochondrial damage, and immune responses. Moreover, ferroptosis can propagate through intercellular mechanisms involving the release of damage-associated molecular patterns (DAMPs), dysregulation of immune checkpoints, and exosome-mediated signaling, collectively driving microglial activation, T-cell infiltration, and blood-brain barrier disruption, culminating in systemic immune imbalance. We further evaluate multiple therapeutic strategies targeting ferroptosis, including iron chelators, antioxidants, GPX4 activators, and lipoxygenase inhibitors. Based on emerging evidence, we propose a precision medicine approach that incorporates ferroptosis subtyping, multi-omics analysis, and targeted delivery systems. Ferroptosis represents a promising frontier for early diagnosis and intervention in AD, potentially enabling the development of causality-oriented, mechanism-based therapies."
41596255,Targeting the Gut Microbiota: Mechanistic Investigation of Polyphenol Modulation of the Gut-Brain Axis in Alzheimer's Disease.,"Alzheimer's disease (AD) represents an increasingly severe global health challenge. Recently, the role of the gut-brain axis in AD pathogenesis has garnered significant attention. Dysbiosis of the gut microbiota can exacerbate core pathologies such as neuroinflammation, amyloid beta (Aβ) deposition, and tau hyperphosphorylation through neural, endocrine, and immune pathways. Polyphenolic compounds have emerged as a focal point in neuroprotective research owing to their pronounced anti-inflammatory and antioxidant properties. Notably, polyphenols exert effects not only by directly influencing the central nervous system (CNS) but also through indirectly modulating the composition and function of the gut microbiota, thereby impacting bidirectional gut-brain communication. This dual mechanism offers a potential avenue for their application in the prevention and treatment of AD. This review aims to compile recent research on the relationship between polyphenols and the gut microbiota. We assessed the literature from PubMed, Google Scholar, and Web of Science databases, published from the establishment of the database to 24 November 2025. The keywords used include ""Polyphenols"", ""Gut-brain axis"", ""Gut microbiota"", ""Alzheimer's disease"", ""Epigallocatechin gallate"", ""Quercetin"", ""Curcumin"", ""Ferulic acid"", ""Resveratrol"", ""Anthocyanin"", ""Myricetin"", ""Chlorogenic acid"", etc. This review discusses the various mechanisms by which polyphenols influence AD through modulating the gut microbiota. Polyphenols and gut microbiota exhibit critical bidirectional interactions. On one hand, the bioavailability and activity of polyphenols are highly dependent on metabolic conversion by gut microbiota. On the other hand, polyphenols selectively promote the proliferation of beneficial bacteria such as bifidobacteria and lactobacilli like prebiotics, while inhibiting the growth of pathogenic bacteria. This reshapes the intestinal microecology, enhances barrier function, and regulates beneficial metabolites. Utilizing a nanotechnology-based drug delivery system, the pharmacokinetic stability and brain targeting efficacy of polyphenols can be significantly enhanced, providing innovative opportunities for the targeted prevention and management of AD."
