pmid,title,text,source,doc_id
41553588.0,"Metallothioneins in Neurodegenerative Diseases: Metal Homeostasis, Autoimmunity, and Therapeutic Potential.","neurodegenerative diseases, including multiple sclerosis, parkinson s disease, alzheimer s disease, and amyotrophic lateral sclerosis, are characterized by progressive neuronal loss and are frequently linked to metal dysregulation, oxidative stress, and immune dysfunction. metallothioneins (mts), a family of cysteine-rich, metal-binding proteins, are critical in maintaining metal homeostasis, mitigating oxidative damage, and modulating immune responses, functions highly relevant in these pathologies. mts regulate essential metals like copper and iron by preventing their participation in harmful redox reactions and control zinc availability for enzymatic and signaling processes. they also detoxify neurotoxic metal(oid)s such as cadmium, mercury, lead, and arsenic, thereby reducing their adverse neurological and immunological effects. in autoimmune neurodegeneration, mts modulate pro- and anti-inflammatory cytokines (e.g., il-6, tnf- , il-10) and influence immune cell activity, particularly microglia and t cells, which are central to neuroinflammation and autoimmunity. through these mechanisms, mts play a dual role in sustaining immune homeostasis and counteracting oxidative stress. their capacity to integrate metal regulation with immune modulation positions them as promising therapeutic targets, with preclinical and some clinical evidence supporting strategies to enhance mt expression or develop mt-mimetic agents to address both metal dysregulation and immune imbalance. additionally, mts show emerging utility as biomarkers, as alterations",,
41553588.0,"Metallothioneins in Neurodegenerative Diseases: Metal Homeostasis, Autoimmunity, and Therapeutic Potential.","oxidative stress. their capacity to integrate metal regulation with immune modulation positions them as promising therapeutic targets, with preclinical and some clinical evidence supporting strategies to enhance mt expression or develop mt-mimetic agents to address both metal dysregulation and immune imbalance. additionally, mts show emerging utility as biomarkers, as alterations in mt isoform expression and metal-bound complexes in biofluids have been associated with disease onset, progression, and therapeutic response in specific neurodegenerative conditions. this article reviews the multifaceted roles of mts in neurodegenerative diseases, emphasizing their function in metal and immune regulation and their emerging potential as therapeutic targets and clinical biomarkers.",,
41599691.0,The Expanding Role of Non-Coding RNAs in Neurodegenerative Diseases: From Biomarkers to Therapeutic Targets.,"non-coding rnas have emerged as central regulators of gene expression in neurodegenerative diseases, offering new opportunities for diagnosis and therapy. this review synthesizes current knowledge on micrornas, long non-coding rnas, and circular rnas in alzheimer s disease, parkinson s disease, and amyotrophic lateral sclerosis, emphasizing their roles in synaptic function, proteostasis, mitochondrial biology, and neuroinflammation. we evaluate evidence supporting non-coding rnas as circulating and tissue-based biomarkers for early detection, disease monitoring, and patient stratification, and we compare analytical platforms and biofluid sources. mechanistic insights reveal how non-coding rnas modulate pathogenic protein aggregation, neuronal excitability, immune cell crosstalk, and blood-brain barrier integrity. translational efforts toward rna-targeted interventions are reviewed, including antisense oligonucleotides, small interfering rnas, mirna mimics and inhibitors, circular rna decoys, and extracellular vesicle-mediated delivery systems. we discuss pharmacological modulation, delivery challenges, safety concerns, and strategies to enhance specificity and cns penetration. finally, we outline emerging computational and multi-omics approaches to prioritize therapeutic targets and propose a roadmap for advancing non-coding rna research from preclinical models to clinical trials. addressing biological heterogeneity and delivery barriers will be pivotal to realizing the diagnostic and therapeutic promise of the non-coding transcriptome in neurodegenerative disease. collaboration across disciplines and rigorous clinical validation are",,
41599691.0,The Expanding Role of Non-Coding RNAs in Neurodegenerative Diseases: From Biomarkers to Therapeutic Targets.,to prioritize therapeutic targets and propose a roadmap for advancing non-coding rna research from preclinical models to clinical trials. addressing biological heterogeneity and delivery barriers will be pivotal to realizing the diagnostic and therapeutic promise of the non-coding transcriptome in neurodegenerative disease. collaboration across disciplines and rigorous clinical validation are urgently needed.,,
41588609.0,From gut to brain: formulation and transporter-guided approaches to maximise rutin central nervous system delivery.,"neurological disorders, including alzheimer s and parkinson s disease, are characterised by high morbidity and disability, representing a major global health challenge. a central obstacle in their treatment is the i blood-brain barrier i , a highly selective interface that limits drug delivery to the central nervous system. rutin, a naturally occurring flavonoid, exhibits potent antioxidant, anti-inflammatory, and neuroprotective activities, yet its clinical utility remains constrained by poor solubility, low oral bioavailability, and restricted i blood-brain barrier i permeability. recent advances in drug delivery and formulation science offer promising solutions. nanoparticle encapsulation, peptide conjugation, intranasal delivery, and co-administration with absorption enhancers have been shown to improve rutin s solubility, metabolic stability, and central nervous system penetration in preclinical models. mechanistic studies further reveal that rutin can modulate efflux transporters, regulate tight-junction proteins, and influence microglial activity and cellular metabolism, collectively contributing to enhanced neuroprotection. experimental evidence highlights its potential to mitigate key neurodegenerative processes, particularly in alzheimer s disease. this review synthesises current knowledge on rutin s pharmacological effects, limitations in bioavailability, and innovative strategies to improve i blood-brain barrier i penetration. by integrating mechanistic insights with advances in delivery technologies, this review underscores rutin s translational potential. priority next",,
41588609.0,From gut to brain: formulation and transporter-guided approaches to maximise rutin central nervous system delivery.,"mitigate key neurodegenerative processes, particularly in alzheimer s disease. this review synthesises current knowledge on rutin s pharmacological effects, limitations in bioavailability, and innovative strategies to improve i blood-brain barrier i penetration. by integrating mechanistic insights with advances in delivery technologies, this review underscores rutin s translational potential. priority next steps include optimising delivery systems, establishing long-term safety, and conducting well-designed clinical trials to define efficacy and dosing.",,
41597249.0,Olfactory Dysfunction and Cognitive Deterioration in Long COVID: Pathomechanisms and Clinical Implications in Development of Alzheimer's Disease.,"complete or partial loss of smell (anosmia), sometimes in association with distorted olfactory perceptions (parosmia), is a common neurological symptom affecting nearly 60% of patients suffering from post-acute neurological sequelae of coronavirus disease of 2019 (covid-19) syndrome, called long covid. severe acute respiratory syndrome coronavirus 2 (sars-cov-2) may gain access from the nasal cavity to the brain (neurotropism), and the olfactory route has been proposed as a peripheral site of virus entry. covid-19 is a risk factor for developing alzheimer s disease (ad), an age-dependent and progressive neurodegenerative disorder characterized in affected patients by early olfaction dysfunction that precedes signs of cognitive decline associated with neurodegeneration in vulnerable brain regions of their limbic system. here, we summarize the recent literature data supporting the causal correlation between the persistent olfactory deterioration following sars-cov-2 infection and the long-delayed manifestation of ad-like memory impairment. sars-cov-2 infection of the olfactory neuroepithelium is likely to trigger a pattern of detrimental events that, directly and or indirectly, affect the anatomically interconnected hippocampal and cortical areas, thus resulting in tardive clinical dementia. we also delineate future advancement on pharmacological and rehabilitative treatments to improve the olfactory dysfunction in patients recovering even from the acute mild phase of",,
41597249.0,Olfactory Dysfunction and Cognitive Deterioration in Long COVID: Pathomechanisms and Clinical Implications in Development of Alzheimer's Disease.,"trigger a pattern of detrimental events that, directly and or indirectly, affect the anatomically interconnected hippocampal and cortical areas, thus resulting in tardive clinical dementia. we also delineate future advancement on pharmacological and rehabilitative treatments to improve the olfactory dysfunction in patients recovering even from the acute mild phase of covid-19. collectively, the present review aims at highlighting the physiopathological nexus between covid-19 anosmia and post-pandemic mental health to favor the development of best-targeted and more effective therapeutic strategies in the fight against the long-term neurological complications associated with sars-cov-2 infection.",,
41547891.0,Intranasal blood-brain barrier bypass enables sequential mitochondria-targeted bioengineered nanolamellar system for ischemic stroke therapy.,"mitochondrial damage constitutes the central pathological mechanism of cerebral ischemia-reperfusion (i r) injury. targeted delivery of antioxidants to mitochondria and the phenotype polarization of glial cells holds great promise for effective treatment. however, the blood-brain barrier (bbb) remains a major obstacle, causing insufficient drug accumulation in neuronal mitochondria. here, we develop a bioengineered nanolamellar system (mm bppf) by coating microglia-mitochondria hybrid biomembrane onto black phosphorus nanosheets (bp nss) loaded with polymetformin (polymet) and fingolimod hydrochloride (fty720). microglia membrane facilitates inflammation-directed targeting to the injured brain regions, while mitochondria membrane confers homotypic targeting to mitochondria. meanwhile, bp nss, polymet, and fty720 act sequentially to restore mitochondrial function of neuronal cells and modulate microglial polarization. intranasal administration enables mm bppf to bypass the bbb, substantially improving brain-targeting efficiency. this work not only offers an innovative sequential targeting strategy for mitigating i r injury but also presents a potential paradigm for treating other central nervous system disorders.",,
41547891.0,Intranasal blood-brain barrier bypass enables sequential mitochondria-targeted bioengineered nanolamellar system for ischemic stroke therapy.,central nervous system disorders.,,
41564643.0,Development and quality control studies of radiolabelled nanostructured lipid formulations with Ga-68.,"this study aims to radiolabel a nanoparticle formulation containing donepezil with ga-68 radionuclide with high efficiency for diagnosing alzheimer s disease. in order to develop lipid carrier systems with biocompatible contents in nanoparticle structures, extensive formulation studies were conducted. these systems were subsequently radiolabeled with ga-68 radionuclide to evaluate their radiolabeling efficiencies. the results are highly encouraging, suggesting that effective radiolabeling is indeed possible. these findings are particularly significant as they open up a range of applications for targeted drug delivery, medical imaging, and diagnostics. overall, this study represents a valuable contribution to the expanding body of knowledge on lipid carrier systems in healthcare. nanocarrier formulations were prepared. the radiolabeling parameters of the prepared formulations were studied comparatively. a ga-68 radionuclide with a half-life of 68 min was used for this. incubation time, amount of radioactivity, and ph parameters were studied. the radiolabeling incubation time, ph of the experimental medium, and amount of radioactivity were tested, and the optimal parameters were identified. according to the results of the radiolabeling studies, optimal radiolabeling with ga-68 radionuclide was obtained in an acid medium (ph 5), with a 60 min incubation time, and using 5 mci of activity in the dota-functionalized nanolipid formulations,",,
41564643.0,Development and quality control studies of radiolabelled nanostructured lipid formulations with Ga-68.,"and amount of radioactivity were tested, and the optimal parameters were identified. according to the results of the radiolabeling studies, optimal radiolabeling with ga-68 radionuclide was obtained in an acid medium (ph 5), with a 60 min incubation time, and using 5 mci of activity in the dota-functionalized nanolipid formulations, achieving 89.17 % efficiency. furthermore, quantitative in vivo pet ct imaging in nude mice (n 3 group) demonstrated that the optimized ga-68-dnp-nlc formulation achieved statistically significant and higher brain uptake compared to the free ga-68 control, confirming its ability to cross the blood-brain barrier.",,
41548855.0,Metal-directed nanomedicines for imaging-guided disease treatment.,"metal-directed self-assembly, driven by metal-ligand coordination, represents a highly versatile and efficient strategy for constructing drug delivery systems with precisely tunable properties, inherent imaging capabilities, and broad biomedical applications. stimuli-responsive metal-directed drug delivery systems (mddss), guided by advanced imaging techniques, enable precise control over their size and spatial architecture while facilitating site-specific drug release. moreover, certain metal ions play a dual role, not only orchestrating the self-assembly process but also serving as therapeutic agents and regulatory components for the treatment of various diseases, including cancer, microbial infections, and alzheimer s disease. this review provides a comprehensive overview of the self-assembly mechanisms underlying diverse mddss and their applications in image-guided therapy. furthermore, we critically examine existing challenges in the field and propose strategic directions to propel the advancement of metal-directed self-assembly in drug delivery. given the profound implications of this research, further exploration of the critical roles of metal coordination in self-assembly is imperative for the development of next-generation drug delivery platforms. statement of significance this review systematically summarize the self-assembly mechanisms of metal-directed drug delivery systems, outlines their applications in image-guided therapy and discusses the current challenges that remain. furthermore, it elucidates the unique regulatory roles of metal ions in",,
41548855.0,Metal-directed nanomedicines for imaging-guided disease treatment.,"self-assembly is imperative for the development of next-generation drug delivery platforms. statement of significance this review systematically summarize the self-assembly mechanisms of metal-directed drug delivery systems, outlines their applications in image-guided therapy and discusses the current challenges that remain. furthermore, it elucidates the unique regulatory roles of metal ions in precise drug release and multimodal therapy, providing valuable insights and broad appeal for the development and clinical translation of next-generation smart nanomedicine platforms.",,
41579998.0,Carboxymethyl chitosan for neurological drug delivery: Current trends and future prospects.,"the complexity of drug delivery across the blood-brain barrier (bbb) makes disorders of the central nervous system (cns), such as alzheimer s disease, parkinson s disease(pd), brain tumors, and other neurodegenerative conditions, a growing global health burden. poor brain bioavailability and systemic side effects are common problems with traditional therapies. delivery systems based on nanotechnology have shown promise as solutions to these problems. these include carboxymethyl chitosan (cmc), a water-soluble, biocompatible, and biodegradable chitosan derivative that has drawn a lot of interest because of its increased stability, mucoadhesiveness, improved solubility at physiological ph, and ability to encapsulate and release targeted drugs. cmc-based nanocarriers are perfect for treating a variety of conditions because they have shown promise in increasing therapeutic efficacy while reducing toxicity. recently developed cmc-based drug delivery systems for cns disorders are examined critically in this review, with an emphasis on their design, biological performance, targeting techniques, and potential for clinical translation in the future. their multifunctional qualities, in vitro and in vivo evidence, and their function in regulating neuroinflammation, oxidative stress, and neuronal regeneration are given particular attention.",,
41579998.0,Carboxymethyl chitosan for neurological drug delivery: Current trends and future prospects.,"for clinical translation in the future. their multifunctional qualities, in vitro and in vivo evidence, and their function in regulating neuroinflammation, oxidative stress, and neuronal regeneration are given particular attention.",,
41603986.0,Computational prioritization of multi-target inhibitors: explainable QSAR and docking-based discovery of dual AChE/BACE1 chemotypes.,"the discovery of dual acetylcholinesterase (ache) and -secretase (bace1) inhibitors remains a promising strategy against multifactorial alzheimer s disease. here, rigorously curated chembl-derived data were used to develop explainable qsar (quantitative structure-activity relationship) models for dual-inhibition prioritization. molecules were standardized, near-duplicates were removed using a tanimoto similarity threshold ( 0.80), and physicochemical outliers were filtered prior to modeling. multiple classifiers (including light gradient-boosting machine, extreme gradient boosting, random forest, support vector machine, k-nearest neighbors and gradient boosting decision trees) and fingerprints (e.g., rdkit fingerprints, extended connectivity fingerprint) were benchmarked under scaffold-based nested cross-validation to prevent data leakage. class imbalance was handled with smotetomek applied strictly within training folds. model selection relied on f-score, area under the precision-recall curve, matthews correlation coefficient (mcc), and recall, and performance was accompanied by bootstrap confidence intervals, calibration curves, and y-randomization controls. in classification, the top model (gbdt ecfp6) achieved strong generalization (recall 1.00, pr-auc 0.84, mcc 0.81, f1 score 0.84). shapley additive explanations (shap) analysis highlighted aromatic and hydrogen-bonding substructures as key positive contributors. prospective candidates (e.g., chembl5082250, chembl1651126, chembl1651127) were evaluated by active-site-focused docking against ache (pdb 4ey7) and bace1 (pdb 2g94) with essential waters retained docking scores ( g, kcal mol sup",,
41603986.0,Computational prioritization of multi-target inhibitors: explainable QSAR and docking-based discovery of dual AChE/BACE1 chemotypes.,"0.84, mcc 0.81, f1 score 0.84). shapley additive explanations (shap) analysis highlighted aromatic and hydrogen-bonding substructures as key positive contributors. prospective candidates (e.g., chembl5082250, chembl1651126, chembl1651127) were evaluated by active-site-focused docking against ache (pdb 4ey7) and bace1 (pdb 2g94) with essential waters retained docking scores ( g, kcal mol sup 1 sup ) were used for relative ranking of the ligands. swissadme pkcsm profiling suggested cns-relevant properties (e.g., mpo, logbb, p-gp liability) and acceptable oral drug-likeness. collectively, the workflow provides a reproducible and transparent pipeline for prioritizing dual ache bace1 chemotypes and nominates testable scaffolds for experimental validation.",,
41575328.0,Targeted Delivery of Quercetin to the Brain via a Modified Polymeric Nanocarrier.,"quercetin (qt) exhibits significant neuroprotective potential in alzheimer s disease however, its clinical translation is limited by poor solubility, low permeability, and inadequate brain bioavailability. in this study, a modified polymeric nanocarrier was developed to enhance qt delivery to the brain. polyethyleneimine (pei) was conjugated with polyethylene glycol (peg) and further functionalized with phenylalanine to reduce pei-associated toxicity and improve brain-targeting efficiency. successful polymer synthesis was confirmed by ft-ir spectroscopy, showing characteristic s s bond formation at 790 cm sup - sup sup 1 sup , mass spectrometry (m z 1087.3), and differential scanning calorimetry. nanoparticles were optimized using a quality by design approach, yielding an experimental particle size of 161.4 1.10 nm, zeta potential of 15.9 2.5 mv, and high entrapment efficiencies of 84.21 % and 86.74 % for qt-pei-np and qt-pei-peg-s-s-aa-np, respectively. sem analysis revealed spherical nanoparticles with nanoscale surface roughness and good stability. in vitro release studies demonstrated sustained qt release (98 % over 48 h). mtt assays and cytokine analysis (tnf- , il-1 , il-6) confirmed biocompatibility. enhanced intestinal permeability, absence of hippocampal toxicity, and effective bbb transport further support the potential of this nanocarrier for targeted neurotherapeutic delivery.",,
41575328.0,Targeted Delivery of Quercetin to the Brain via a Modified Polymeric Nanocarrier.,"demonstrated sustained qt release (98 % over 48 h). mtt assays and cytokine analysis (tnf- , il-1 , il-6) confirmed biocompatibility. enhanced intestinal permeability, absence of hippocampal toxicity, and effective bbb transport further support the potential of this nanocarrier for targeted neurotherapeutic delivery.",,
41604360.0,"A Global, Regional, and National Survey on Burden and Quality of Care Index of Alzheimer's Disease and Other Dementias in Adults Aged 55 and Above: The Global Burden of Disease Study 1990-2021.","alzheimer s disease and other dementias (adod) represent a growing global health challenge. this study aims to propose a comprehensive measure called the quality of care index (qci) to assess disparities in quality of care (qc) for adod patients across global, regional, and national levels. we also evaluate temporal trends in qci and explore associations with socioeconomic development, gender, and age. individuals aged 55 years and older with adod were included in this longitudinal study using data from the global burden of disease (gbd) database spanning 1990-2021. the qci score was calculated using four indicators. principal component analysis was employed to compute the qci. the qci was rescaled to a single index ranging from 0 to 100, where higher scores indicate better qc. the global qci increased from 32.9 in 1990 to 50.2 in 2021, with a greater increase among females (68.8%) than males (52.4%). significant gains were observed in regions with middle and high-middle sociodemographic index), while slight declines occurred in high- and low-middle sdi regions, and slow progress was seen in low sdi regions. the gender gap in qci narrowed, with females outperforming males in low sdi regions. qci scores showed a marked increase with age, reflecting lower",,
41604360.0,"A Global, Regional, and National Survey on Burden and Quality of Care Index of Alzheimer's Disease and Other Dementias in Adults Aged 55 and Above: The Global Burden of Disease Study 1990-2021.","regions with middle and high-middle sociodemographic index), while slight declines occurred in high- and low-middle sdi regions, and slow progress was seen in low sdi regions. the gender gap in qci narrowed, with females outperforming males in low sdi regions. qci scores showed a marked increase with age, reflecting lower qc access in younger age groups and a sharp rise in older age groups. substantial disparities in qci exist globally and regionally across age cohorts and between men and women. policymakers should prioritize targeted interventions to address these gaps, improve access to high-quality care, and alleviate the global burden of adod.",,
41570392.0,"Clinical, imaging and blood biomarker outcomes in a Phase 3 clinical trial of tau aggregation inhibitor hydromethylthionine mesylate in mild cognitive impairment and mild to moderate dementia due to Alzheimer's disease.","hydromethylthionine mesylate (hmtm) targets tau pathology and has tau-independent symptomatic activity. to evaluate the safety and efficacy of hmtm in participants with mild cognitive impairment (mci) and mild to moderate dementia due to alzheimer s disease (ad). 82 centres in canada, european union, united kingdom and united states of america. a total of 598 amyloid -pet positive participants were included 44% (263) met clinical criteria for mci due to alzheimer s disease and 56% (335) were diagnosed with mild to moderate dementia due to ad. hmtm 16 mg day and 8 mg day were compared with methylthioninium chloride (mtc) 4 mg twice weekly, intended as an inactive urinary colourant to preserve blinding with respect to possible urinary discolouration caused by hmtm. hmtm and mtc were compared on cognitive and functional endpoints for the first 52 weeks followed by all receiving hmtm 16 mg day to 104 weeks in a modified delayed-start trial design. biomarker outcomes included change in plasma levels of neurofilament light chain (nfl), ptau217 and mri measures of grey matter atrophy. it was not possible to demonstrate significant differences on the co-primary clinical endpoints (adas-cog sub 11 sub and adcs-adl sub 23 sub ) at 52 weeks due",,
